Accession	Virus Name	Submitter Affiliation	Submitter Names	dataset
KY116198.1	Influenza A virus (A/Wisconsin/84/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY116150.1	Influenza A virus (A/New York/99/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY116134.1	Influenza A virus (A/Iowa/27/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY115966.1	Influenza A virus (A/Nevada/37/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY115958.1	Influenza A virus (A/Michigan/78/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY115926.1	Influenza A virus (A/Nebraska/23/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY115902.1	Influenza A virus (A/Michigan/104/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY115878.1	Influenza A virus (A/Michigan/100/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY115870.1	Influenza A virus (A/Illinois/46/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY115862.1	Influenza A virus (A/Illinois/45/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY115830.1	Influenza A virus (A/North Carolina/54/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078642.1	Influenza A virus (A/South Carolina/NHRC_75472/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078637.1	Influenza A virus (A/South Carolina/NHRC_75444/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078633.1	Influenza A virus (A/New Jersey/NHRC_93433/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078632.1	Influenza A virus (A/New Jersey/NHRC_93422/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078629.1	Influenza A virus (A/New Jersey/NHRC_93400/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078628.1	Influenza A virus (A/New Jersey/NHRC_93398/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078624.1	Influenza A virus (A/California/NHRC_SAR41418N/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078617.1	Influenza A virus (A/California/NHRC_FDX21905/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078611.1	Influenza A virus (A/California/NHRC_BRD41334N/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY078606.1	Influenza A virus (A/California/NHRC_BRD41189N/2016(H3N2))	Naval Health Research Center, Operational Infectious Diseases	Sitz,C.R.,Thammavong,H.L.,Balansay-Ames,M.S.,Hawksworth,A.W.,Myers,C.A.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY045455.1	Influenza A virus (A/New York/92/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY045443.1	Influenza A virus (A/New York/88/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY044442.1	Influenza A virus (A/North Carolina/36/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY044273.1	Influenza A virus (A/Colorado/04/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY044202.1	Influenza A virus (A/Texas/186/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY044173.1	Influenza A virus (A/South Carolina/18/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY044154.1	Influenza A virus (A/Iowa/22/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY044126.1	Influenza A virus (A/South Dakota/01/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY003578.1	Influenza A virus (A/Texas/182/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
KY003564.1	Influenza A virus (A/California/121/2016(H3N2))	Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division	Jernigan,D.,Wentworth,D.,Katz,J.,Barnes,J.,Garten,R.,Xu,X.	seasonal-flu-h3n2-ha-2016-2018-seed2
