normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.1055,reduced_umap_cosine_8_t48-15B-attentionmean_All,reduced_umap_cosine_8_t48-15B-attentionmean_All_label,12,1073,0,1073,0,1073,0.8266819044359547,0.6733033608355561,0.8266819044359547,0.8210983603721379
0.1058,reduced_t-sne_cosine_2_t36-3B-mean_All,reduced_t-sne_cosine_2_t36-3B-mean_All_label,9,1065,8,1073,0,1065,0.8106909210208083,0.7869473598709097,0.8106909210208084,0.8057376142084217
0.1069,reduced_umap_cosine_4_t48-15B-sitemean_All,reduced_umap_cosine_4_t48-15B-sitemean_All_label,16,1060,13,1073,0,1060,0.8271145197747124,0.8056047268483075,0.8271145197747124,0.8200969625586075
0.1071,reduced_umap_euclidean_6_t33-650M-mean_All,reduced_umap_euclidean_6_t33-650M-mean_All_label,13,1073,0,1073,0,1073,0.8192347664105647,0.7635480669252845,0.8192347664105647,0.8130002188282528
0.1074,reduced_t-sne_cosine_2_t36-3B-attentionmean_All,reduced_t-sne_cosine_2_t36-3B-attentionmean_All_label,9,1062,11,1073,0,1062,0.8079624256034356,0.7852666825232767,0.8079624256034356,0.8029244425958012
0.1082,reduced_mds_euclidean_10_t36-3B-mean_All,reduced_mds_euclidean_10_t36-3B-mean_All_label,14,502,571,1073,0,502,0.8458665479328467,0.6489692127032496,0.8458665479328467,0.8396570222473579
0.1082,reduced_mds_cosine_10_t36-3B-mean_All,reduced_mds_cosine_10_t36-3B-mean_All_label,14,502,571,1073,0,502,0.8458665479328467,0.6489692127032496,0.8458665479328467,0.8396570222473579
0.1082,reduced_t-sne_cosine_10_t48-15B-attentionmean_All,reduced_t-sne_cosine_10_t48-15B-attentionmean_All_label,12,963,110,1073,0,963,0.822583102326695,0.6868571867052091,0.8225831023266947,0.8164222139330854
0.1082,reduced_umap_euclidean_2_t48-15B-mean_All,reduced_umap_euclidean_2_t48-15B-mean_All_label,15,1064,9,1073,0,1064,0.8270692471994677,0.6885252573053376,0.8270692471994677,0.8204666284489763
0.1087,reduced_t-sne_cosine_1_t36-3B-mean_All,reduced_t-sne_cosine_1_t36-3B-mean_All_label,9,1063,10,1073,0,1063,0.8057277164492161,0.7849910756119622,0.8057277164492161,0.8005914608093899
0.1094,reduced_umap_cosine_8_t48-15B-sitemean_All,reduced_umap_cosine_8_t48-15B-sitemean_All_label,15,1073,0,1073,0,1073,0.8228705483892169,0.8044676883304844,0.822870548389217,0.8160977547116758
0.1098,reduced_t-sne_cosine_2_t36-3B-bos_All,reduced_t-sne_cosine_2_t36-3B-bos_All_label,8,1069,4,1073,0,1069,0.8000796999679268,0.8043975164578795,0.8000796999679268,0.7952203103650677
0.11,reduced_t-sne_cosine_1_t36-3B-attentionmean_All,reduced_t-sne_cosine_1_t36-3B-attentionmean_All_label,9,1057,16,1073,0,1057,0.8036480687796589,0.7876956768936288,0.8036480687796589,0.7984250565952188
0.1103,reduced_t-sne_euclidean_4_t48-15B-sitemean_All,reduced_t-sne_euclidean_4_t48-15B-sitemean_All_label,4,1071,2,1073,0,1071,0.7551650153149038,0.5856685564875932,0.7551650153149038,0.7517349601394806
0.1105,reduced_mds_euclidean_8_prot5,reduced_mds_euclidean_8_prot5_label,14,755,318,1073,0,755,0.8201172784994369,0.6065138855653706,0.8201172784994369,0.8137926736481309
0.1105,reduced_mds_cosine_8_prot5,reduced_mds_cosine_8_prot5_label,14,755,318,1073,0,755,0.8201172784994369,0.6065138855653706,0.8201172784994369,0.8137926736481309
0.1106,reduced_mds_euclidean_8_t36-3B-attentionmean_All,reduced_mds_euclidean_8_t36-3B-attentionmean_All_label,14,533,540,1073,0,533,0.8404243024131671,0.6322092457488071,0.840424302413167,0.8343778216240902
0.1106,reduced_mds_cosine_8_t36-3B-attentionmean_All,reduced_mds_cosine_8_t36-3B-attentionmean_All_label,14,533,540,1073,0,533,0.8404243024131671,0.6322092457488071,0.840424302413167,0.8343778216240902
0.1115,reduced_t-sne_euclidean_10_CARP,reduced_t-sne_euclidean_10_CARP_label,6,1059,14,1073,0,1059,0.7707574841780901,0.6283470886270182,0.7707574841780901,0.7662973952177659
0.112,reduced_umap_euclidean_10_t36-3B-sitemean_All,reduced_umap_euclidean_10_t36-3B-sitemean_All_label,5,1073,0,1073,0,1073,0.7659554075129879,0.6553824707804364,0.7659554075129879,0.7620065626720329
